"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"gene"
"LHCGR"	0.00427531423975273	-0.202810019829314	0.2	0.361	1	"LHCGR"
"FRAT2"	0.00433066353719235	-0.194153754595182	0.267	0.445	1	"FRAT2"
"PRTFDC1"	0.00434936005264179	-0.268342397088637	0.6	0.735	1	"PRTFDC1"
"TRUB2"	0.00435591853864903	0.136261772150304	0.587	0.381	1	"TRUB2"
"BCKDHA"	0.00458054646639992	0.203397388957918	0.72	0.516	1	"BCKDHA"
"SLTM"	0.00473873475089529	0.215886783522187	0.68	0.465	1	"SLTM"
"FUNDC1"	0.00477508191497246	0.124138325467452	0.427	0.239	1	"FUNDC1"
"CRISP2"	0.00487518310884537	0.115095700449235	0.213	0.084	1	"CRISP2"
"CFAP61"	0.0049155563430731	-0.221610468957116	0.84	0.884	1	"CFAP61"
"SLC6A11"	0.00499036222204453	-0.185791552442132	0.4	0.606	1	"SLC6A11"
"NSUN2"	0.00505277174418224	-0.248207546047202	0.373	0.529	1	"NSUN2"
"SLFN12L"	0.00516026661648909	-0.218921616279198	0.373	0.542	1	"SLFN12L"
"PDE6B"	0.00521408936652462	0.110904089287157	0.493	0.271	1	"PDE6B"
"SLK"	0.00525588988456324	-0.286784909626129	0.547	0.69	1	"SLK"
"UCK1"	0.00534542148898613	-0.128283032692316	0.053	0.194	1	"UCK1"
"CRABP1"	0.00537156058989836	0.0789321327815722	0.173	0.058	1	"CRABP1"
"FBXO18"	0.005396315290952	0.273737418346442	0.693	0.542	1	"FBXO18"
"STX8"	0.00541850817138922	0.168349912458829	0.853	0.665	1	"STX8"
"CD46"	0.00545053722072314	0.162386175111128	0.72	0.49	1	"CD46"
"STRN"	0.00547418600073543	0.218038701061955	0.827	0.723	1	"STRN"
"KIF19"	0.00549158735615797	0.188147521655908	0.453	0.258	1	"KIF19"
"CEP120"	0.00558702007618771	-0.302390368637708	0.613	0.768	1	"CEP120"
"GSKIP"	0.00560587918707706	0.178764268400271	0.573	0.413	1	"GSKIP"
"ISCA1"	0.00561256579951034	0.239949543593976	0.667	0.465	1	"ISCA1"
"IMPG1"	0.00563297732081027	0.168914476269357	0.547	0.355	1	"IMPG1"
"DNAJC13"	0.00566083377590535	0.224976114454295	0.8	0.677	1	"DNAJC13"
"KIAA0355"	0.00569306031421773	0.204211236443941	0.56	0.381	1	"KIAA0355"
"PANO1"	0.00574764194448913	-0.186332135049257	0.227	0.419	1	"PANO1"
"ASIC5"	0.00581571669506445	0.151121976604314	0.227	0.097	1	"ASIC5"
"MAFB"	0.00585350824985692	0.160641048122738	0.307	0.161	1	"MAFB"
"CLPSL2"	0.00606056255645142	0.103719436202739	0.16	0.052	1	"CLPSL2"
"TCTN3"	0.00625669899454066	-0.205802299107879	0.493	0.665	1	"TCTN3"
"KYNU"	0.0062914982579449	0.217405099152625	0.76	0.619	1	"KYNU"
"IL31RA"	0.00637750188139235	-0.2618806511943	0.267	0.445	1	"IL31RA"
"MSRA"	0.00650493939263454	0.359527896018498	0.92	0.813	1	"MSRA"
"RBM10"	0.0066017119743082	0.222957335451113	0.613	0.465	1	"RBM10"
"RP5-874C20.8"	0.00662853107824511	-0.194340082751147	0.173	0.323	1	"RP5-874C20.8"
"DACT1"	0.00665687217802518	0.175108882230686	0.507	0.323	1	"DACT1"
"FSD1"	0.00673564265905599	-0.107078518883343	0.04	0.161	1	"FSD1"
"SRCAP"	0.0068709687423705	0.142495104322281	0.76	0.568	1	"SRCAP"
"TBATA"	0.00690277600709757	-0.181405893834283	0.16	0.329	1	"TBATA"
"SLC47A2"	0.00710752853704499	0.134439756223419	0.187	0.071	1	"SLC47A2"
"GTF2A1"	0.00713209208300208	0.238352451664234	0.827	0.742	1	"GTF2A1"
"RAB35"	0.00713643490670332	0.215263499645651	0.693	0.516	1	"RAB35"
"ZFP57"	0.00718263072348481	0.0700218828677427	0.16	0.052	1	"ZFP57"
"PITPNM2"	0.00724360599408118	0.222206088597936	0.947	0.903	1	"PITPNM2"
"NOX1"	0.00728990992970505	-0.0829670453963841	0.013	0.116	1	"NOX1"
"USP49"	0.0073407251194046	0.213914898954417	0.733	0.535	1	"USP49"
"FAM63A"	0.00735322910153964	0.20746506081358	0.6	0.4	1	"FAM63A"
"ATP11B"	0.00742018215340344	0.211504234806771	0.88	0.839	1	"ATP11B"
"WDR66"	0.00753984953358352	-0.240517974464601	0.573	0.716	1	"WDR66"
"RPP21"	0.00756571670946947	0.159952675216488	0.293	0.148	1	"RPP21"
"TMPRSS7"	0.00758687287547073	-0.203311211374446	0.213	0.368	1	"TMPRSS7"
"TNFSF12-TNFSF13"	0.00761067656373394	0.224520668920908	0.587	0.419	1	"TNFSF12-TNFSF13"
"SPRYD3"	0.00774756512428637	0.193766051971274	0.573	0.381	1	"SPRYD3"
"SYBU"	0.00780603298339447	-0.178762654400444	0.36	0.561	1	"SYBU"
"KCNA6"	0.00787153991909792	-0.12110805655747	0.04	0.161	1	"KCNA6"
"MGAT4B"	0.00789675806636901	0.158666241794111	0.573	0.387	1	"MGAT4B"
"TIPIN"	0.00804488188249377	0.191195537456241	0.76	0.594	1	"TIPIN"
"CALHM2"	0.0080943128371609	-0.198677123163821	0.16	0.297	1	"CALHM2"
"CR1"	0.00816407950075933	0.254438214279879	0.72	0.574	1	"CR1"
"PRR14"	0.00818432180853889	0.220712615145343	0.613	0.465	1	"PRR14"
"NIF3L1"	0.00823025565330906	-0.234412254603838	0.64	0.761	1	"NIF3L1"
"RFX7"	0.00826957432527358	0.315877523734107	0.707	0.581	1	"RFX7"
"APEX2"	0.00832853052361224	-0.173313528261866	0.227	0.406	1	"APEX2"
"ZKSCAN2"	0.00838338768348505	0.0857321596486938	0.467	0.284	1	"ZKSCAN2"
"NUP93"	0.00844357050896384	-0.242655646695473	0.667	0.716	1	"NUP93"
"PRUNE1"	0.0084681769637967	0.225182204151417	0.667	0.49	1	"PRUNE1"
"CFAP126"	0.00852352081914713	0.10392747344879	0.347	0.181	1	"CFAP126"
"FAM189A1"	0.00857242771559802	-0.253296016219823	0.667	0.794	1	"FAM189A1"
"SLC2A3"	0.0085969579251125	0.141288598723474	0.587	0.4	1	"SLC2A3"
"KCTD4"	0.00866817612423029	0.061555355678493	0.107	0.026	1	"KCTD4"
"UPRT"	0.00869691611584778	0.131154648177864	0.467	0.284	1	"UPRT"
"CWH43"	0.00870007504139734	0.194266675379527	0.36	0.219	1	"CWH43"
"GALT"	0.00872326813479959	0.168791885210192	0.653	0.516	1	"GALT"
"KIAA2012"	0.00879731478590396	-0.247423319184243	0.533	0.671	1	"KIAA2012"
"SLX4"	0.00881157366783486	0.160388900728555	0.52	0.323	1	"SLX4"
"SLC16A1"	0.0088327821345722	0.230968847144838	0.613	0.439	1	"SLC16A1"
"CYP3A7"	0.00887218751281954	0.084023665262994	0.12	0.032	1	"CYP3A7"
"RILPL1"	0.00898258105273995	0.270591303758606	0.573	0.406	1	"RILPL1"
"XKR4"	0.00898937335431062	0.322704102351497	0.747	0.619	1	"XKR4"
"DDX19A"	0.00906370995076973	0.221750848020389	0.493	0.335	1	"DDX19A"
"KLRG1"	0.00909861751634522	0.265263919576257	0.8	0.626	1	"KLRG1"
"GOLGA7"	0.00919658928348925	0.138092262446954	0.707	0.503	1	"GOLGA7"
"KCNAB3"	0.00930372924975929	-0.119564827119581	0.067	0.2	1	"KCNAB3"
"DYM"	0.00933994233254833	-0.279069898838174	0.907	0.955	1	"DYM"
"LRWD1"	0.00935163800244328	0.155243317717792	0.52	0.355	1	"LRWD1"
"RAG2"	0.00942410368043748	-0.186997243155405	0.293	0.471	1	"RAG2"
"UPK1B"	0.00945004668186867	0.106506807867565	0.213	0.09	1	"UPK1B"
