"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"gene"
"VRK3"	0.0037419156096045	-0.227663303228896	0.365	0.588	1	"VRK3"
"LUZP1"	0.00393380141955994	-0.269173320019755	0.558	0.725	1	"LUZP1"
"CTNNAL1"	0.0039579541607258	-0.226946820448163	0.385	0.577	1	"CTNNAL1"
"EIF2B1"	0.00395917003956493	-0.16350642540856	0.115	0.314	1	"EIF2B1"
"CWH43"	0.00398599477718354	0.21312550884986	0.346	0.205	1	"CWH43"
"SMAD6"	0.00432551310021536	0.279277286184597	0.808	0.686	1	"SMAD6"
"PSMD11"	0.00432979208088096	-0.262239354604317	0.288	0.477	1	"PSMD11"
"MAP6"	0.00433633639795476	-0.172082370453421	0.269	0.528	1	"MAP6"
"UBR5"	0.00437457313072413	-0.29711691565424	0.769	0.864	1	"UBR5"
"ORAI1"	0.00441000261980197	0.30228769251499	0.692	0.52	1	"ORAI1"
"ZNF222"	0.00451933781223435	0.193045102856446	0.288	0.151	1	"ZNF222"
"FAM104A"	0.00456074301237981	-0.201537693949922	0.231	0.472	1	"FAM104A"
"PAPSS1"	0.00462141520824038	0.25266398450384	0.846	0.763	1	"PAPSS1"
"CRYZ"	0.00463045665429727	-0.240344819704258	0.288	0.487	1	"CRYZ"
"ANKRD20A4"	0.00470094468547489	0.0726146583008401	0.135	0.049	1	"ANKRD20A4"
"TFRC"	0.00480777679547445	-0.31544871269411	0.423	0.608	1	"TFRC"
"ZBBX"	0.00483727983267635	-0.209317759547032	0.269	0.496	1	"ZBBX"
"GPAA1"	0.00486164576297235	-0.128537381754534	0	0.134	1	"GPAA1"
"ZNF627"	0.00496240723258099	-0.26240148386038	0.519	0.716	1	"ZNF627"
"CD99"	0.00499516457338799	-0.308390881208763	0.827	0.871	1	"CD99"
"RSG1"	0.00505722071076879	0.174458731035838	0.404	0.247	1	"RSG1"
"ACTL8"	0.00508227587890118	-0.187180539946402	0.019	0.162	1	"ACTL8"
"HN1"	0.00518638901632408	-0.210608799763716	0.231	0.445	1	"HN1"
"SQSTM1"	0.00520458250966119	-0.298885703643726	0.519	0.711	1	"SQSTM1"
"HRG"	0.00530090553168875	0.115177029906488	0.173	0.072	1	"HRG"
"GTF2H3"	0.00547125850466629	-0.170888048631768	0.154	0.347	1	"GTF2H3"
"AMIGO3"	0.00553495091261872	-0.208594130528345	0.173	0.364	1	"AMIGO3"
"SGK1"	0.00561415356300336	-0.288441225670572	0.635	0.788	1	"SGK1"
"DIAPH1"	0.00562358758528181	-0.289149635066134	0.769	0.88	1	"DIAPH1"
"TPPP"	0.00563296234596485	0.225975990437227	0.596	0.441	1	"TPPP"
"NPTN"	0.00564569941925605	-0.231791585989039	0.346	0.575	1	"NPTN"
"GCNT7"	0.00566833838608368	-0.192203699858049	0.096	0.257	1	"GCNT7"
"TMC6"	0.00567460859765215	0.279309365576998	0.712	0.532	1	"TMC6"
"LRRC27"	0.00569294344446476	0.2884518308699	0.808	0.739	1	"LRRC27"
"NAP1L5"	0.00573610746425278	-0.130815922265121	0.019	0.163	1	"NAP1L5"
"UHMK1"	0.00575820343906312	-0.195073619172839	0.212	0.392	1	"UHMK1"
"UNC50"	0.00581375869547465	-0.195072268816171	0.173	0.368	1	"UNC50"
"TSKS"	0.00587714821470627	-0.182211104760973	0.058	0.213	1	"TSKS"
"SLC35E4"	0.00588441028542987	0.245987229435682	0.615	0.454	1	"SLC35E4"
"TPTE2"	0.00596385643831978	-0.182089110594231	0.077	0.239	1	"TPTE2"
"SLC37A1"	0.00597069537851583	0.325144365836705	0.827	0.79	1	"SLC37A1"
"PDIA5"	0.00598515845561678	-0.325217946026933	0.673	0.845	1	"PDIA5"
"GFRA1"	0.00600352202481639	-0.28895373178494	0.519	0.707	1	"GFRA1"
"PSMD7"	0.00611806012150508	-0.230982087565575	0.25	0.436	1	"PSMD7"
"CCDC77"	0.00613553890237531	-0.269813368619219	0.481	0.622	1	"CCDC77"
"UHRF1"	0.00620366536862517	0.239388052674139	0.596	0.432	1	"UHRF1"
"MOSPD2"	0.00632395303163088	-0.241789912129636	0.269	0.468	1	"MOSPD2"
"CNPY3"	0.00643394695411233	-0.235440478233051	0.423	0.618	1	"CNPY3"
"SLC50A1"	0.00645758431085599	-0.19067027325419	0.135	0.321	1	"SLC50A1"
"HIST1H2BE"	0.0065539181708066	-0.166850543272122	0.327	0.532	1	"HIST1H2BE"
"BTK"	0.00655484053210008	-0.215432667645685	0.327	0.553	1	"BTK"
"DMRTA1"	0.00658846329457911	0.231608524921568	0.365	0.221	1	"DMRTA1"
"GPC3"	0.00677506458433461	-0.213267120776757	0.442	0.644	1	"GPC3"
"LTBR"	0.00679375299786838	-0.180247790751705	0.077	0.236	1	"LTBR"
"ZFP90"	0.00686174265876363	-0.203425159763168	0.25	0.474	1	"ZFP90"
"HRH2"	0.00700566041034059	-0.309459206235047	0.346	0.507	1	"HRH2"
"STMN1"	0.00710981778338618	-0.239844899681594	0.269	0.454	1	"STMN1"
"IQCC"	0.00711399280587349	-0.117905908510593	0	0.123	1	"IQCC"
"GCHFR"	0.00724958722835409	-0.182162203264305	0.096	0.257	1	"GCHFR"
"PSIP1"	0.00727765587734519	0.193521236888775	0.769	0.644	1	"PSIP1"
"CFL2"	0.00743002706028327	-0.172945818535372	0.115	0.297	1	"CFL2"
"SIPA1L3"	0.0074419846914037	-0.310792441460934	0.846	0.86	1	"SIPA1L3"
"AGMO"	0.00749120903696839	-0.294426532033051	0.481	0.667	1	"AGMO"
"SERP1"	0.00750320584794026	-0.257880230381953	0.788	0.854	1	"SERP1"
"BEX1"	0.00758988123060862	0.168255341670259	0.192	0.09	1	"BEX1"
"TBP"	0.00786579525078931	-0.206541394248736	0.423	0.628	1	"TBP"
"KIF18A"	0.00787023461684215	-0.240295962696192	0.558	0.678	1	"KIF18A"
"ACACA"	0.00790862975921975	0.19209118921599	0.885	0.837	1	"ACACA"
"HOXA7"	0.00792898769806541	0.175988147155783	0.519	0.367	1	"HOXA7"
"EEF1D"	0.00799012417741097	-0.21780461667047	0.231	0.434	1	"EEF1D"
"HIST1H1E"	0.00803624796535816	-0.170044435247011	0.096	0.261	1	"HIST1H1E"
"AKAP17A"	0.00806208556705908	-0.199521524777203	0.231	0.405	1	"AKAP17A"
"FANCB"	0.00806306040472042	-0.20834043076305	0.269	0.456	1	"FANCB"
"TTLL8"	0.00806492473781061	-0.180674415718629	0.096	0.262	1	"TTLL8"
"GLRX3"	0.00815545616680577	-0.224520024552454	0.288	0.469	1	"GLRX3"
"UNC119"	0.00819179677833543	-0.162722635658001	0.096	0.259	1	"UNC119"
"MNAT1"	0.00819291488301675	-0.288797316538723	0.481	0.64	1	"MNAT1"
"KCNQ4"	0.0082071350749347	0.243687930301661	0.692	0.546	1	"KCNQ4"
"APLP1"	0.00835425734380968	-0.137786411018488	0.038	0.184	1	"APLP1"
"TTC1"	0.00853864562992297	0.292675682154183	0.712	0.597	1	"TTC1"
"NLRC3"	0.00858592382884222	-0.192318401370681	0.135	0.311	1	"NLRC3"
"NALCN"	0.00858918154352326	-0.237139812935327	0.385	0.604	1	"NALCN"
"RPUSD1"	0.00863568456167013	-0.152562711632471	0.077	0.23	1	"RPUSD1"
"ZNF414"	0.00883982628118122	-0.173654478025059	0.115	0.279	1	"ZNF414"
"RHOBTB2"	0.00889478880978576	0.179100621812365	0.731	0.609	1	"RHOBTB2"
"EFCC1"	0.00913230726376776	-0.295774479041445	0.538	0.691	1	"EFCC1"
"COL21A1"	0.00925880326486373	0.263385863165125	0.808	0.702	1	"COL21A1"
"CYBRD1"	0.00927872324270395	-0.243251983469988	0.365	0.523	1	"CYBRD1"
"INIP"	0.00933773703009641	-0.197768338858828	0.346	0.519	1	"INIP"
"CNDP2"	0.00937800151357969	0.228328132699032	0.769	0.647	1	"CNDP2"
"OSBPL1A"	0.00951273932487257	-0.270825014462976	0.635	0.782	1	"OSBPL1A"
"PROKR2"	0.00956508459333663	0.0801014057100512	0.135	0.053	1	"PROKR2"
"NDUFAF4"	0.00957307833514711	0.217648495026555	0.596	0.447	1	"NDUFAF4"
"KCNH3"	0.00957940875829441	0.206397128894051	0.481	0.346	1	"KCNH3"
"SPSB1"	0.00959552774659449	-0.202912504925099	0.269	0.46	1	"SPSB1"
"TAF11"	0.00965862627841114	-0.170598472935835	0.135	0.305	1	"TAF11"
"MMP25"	0.00970329180059184	-0.15406301137349	0.115	0.28	1	"MMP25"
"SERPINB13"	0.00970987367750093	-0.109462413648197	0	0.115	1	"SERPINB13"
"ASTN1"	0.0097512196178391	-0.359153446493208	0.327	0.505	1	"ASTN1"
"ZNF326"	0.00980868351933089	0.214094621096786	0.731	0.573	1	"ZNF326"
"IFIT1"	0.00998549190429813	0.148729568246718	0.481	0.311	1	"IFIT1"
"TPTE"	0.00999228411507835	-0.203686730814739	0.115	0.273	1	"TPTE"
"MCF2L2"	0.0100068218558053	0.202746732811714	0.981	0.967	1	"MCF2L2"
"SERTAD2"	0.0100413631169769	0.208868436495476	0.981	0.954	1	"SERTAD2"
"PSMD8"	0.0100564279364541	0.224737223324329	0.538	0.393	1	"PSMD8"
"LITAF"	0.0100881805365974	-0.328518281440034	0.654	0.759	1	"LITAF"
"AKAP7"	0.0101100943397369	0.225995390959587	0.788	0.733	1	"AKAP7"
"RP13-1032I1.10"	0.0101629526436404	-0.203342662584669	0.192	0.353	1	"RP13-1032I1.10"
"RPP40"	0.0101884224660255	0.187355357726094	0.654	0.499	1	"RPP40"
"HLTF"	0.0102303606160172	0.206050567025011	0.654	0.556	1	"HLTF"
"TOMM70"	0.0102368974098976	-0.221445684847292	0.462	0.655	1	"TOMM70"
"TRMT12"	0.0102417617495985	-0.190081830523857	0.231	0.423	1	"TRMT12"
"TAS2R1"	0.0102435719764383	0.192209686661425	0.327	0.197	1	"TAS2R1"
"SNRPB"	0.010244755746566	-0.125192374493683	0.173	0.385	1	"SNRPB"
"C14orf166"	0.0102625569080845	0.229270280158684	0.577	0.436	1	"C14orf166"
"CWF19L2"	0.0102822339728388	-0.261247594367003	0.404	0.573	1	"CWF19L2"
"MPHOSPH8"	0.0104691936516822	-0.218272579057032	0.346	0.527	1	"MPHOSPH8"
"TMEM62"	0.0105445125486365	-0.16716384936404	0.327	0.527	1	"TMEM62"
"P2RY6"	0.0107735091809139	-0.201152036361484	0.25	0.451	1	"P2RY6"
"NBAS"	0.010821185980047	0.153220823722204	0.904	0.843	1	"NBAS"
"GAST"	0.0108426306851126	0.0807723342864347	0.115	0.043	1	"GAST"
"TXN2"	0.0108576616117693	0.225331106235174	0.615	0.46	1	"TXN2"
"FAM83E"	0.0108672151874853	-0.145868812746716	0.038	0.176	1	"FAM83E"
"HDAC11"	0.010903564087151	-0.252196536334753	0.385	0.54	1	"HDAC11"
